task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,best_metric,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,truncated,nregret,log_regret
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,16,200,200,-94.72967529296875,-94.72967529296875,94.72967529296875,,True,0.8719927999773063,0.09143859980395064,0.8832662000204436,10400.0,0.7805542001733556,94.72967529296875,200.0,-94.72967529296875,0.7554347826086957,0.0,0.0,0.0,34.0,0.8718433000030927,0.10217879962874576,0.769664500374347,0.592391304347826,0.8165137614678899,0.4076086956521739,0.6666666666666666,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 16}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,17,200,200,-93.53857421875,-93.53857421875,93.53857421875,,True,0.8291365000186488,0.09112809994257987,0.8366818000213243,10400.0,0.7380084000760689,93.53857421875,200.0,-93.53857421875,0.7065217391304348,0.0,0.0,0.0,34.0,0.8289441000088118,0.10171049932250753,0.7272336006863043,0.717391304347826,0.7348484848484849,0.2826086956521739,0.6346153846153846,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 17}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,18,200,200,-93.99498748779297,-93.99498748779297,93.99498748779297,,True,0.8755348999984562,0.09227909985929728,0.8888720999821089,10400.0,0.783255800139159,93.99498748779297,200.0,-93.99498748779297,0.7336956521739131,0.0,0.0,0.0,34.0,0.8753645000397228,0.10306310030864552,0.7723013997310773,0.7717391304347826,0.7746478873239436,0.22826086956521738,0.5952380952380952,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 18}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,19,200,200,-93.42517852783203,-93.42517852783203,93.42517852783203,,True,0.9045213999925181,0.09352779993787408,0.913120599987451,10400.0,0.810993600054644,93.42517852783203,200.0,-93.42517852783203,0.7717391304347826,0.0,0.0,0.0,34.0,0.9043854000046849,0.1039783995365724,0.8004070004681125,0.7663043478260869,0.8156028368794326,0.23369565217391305,0.627906976744186,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 19}",,,
lcbench_167104,lcbench,RS,0,200,200,-93.83413696289062,-93.83413696289062,93.83413696289062,,True,0.34940210002241656,0.1293826998444274,0.35809599998174235,10400.0,0.22001940017798916,93.83413696289062,,,,,,,,,,,,,,,,,,,,
lcbench_167104,lcbench,RS,1,200,200,-94.37223815917969,-94.37223815917969,94.37223815917969,,True,0.3336132999975234,0.12003860011463985,0.3439635999966413,10400.0,0.21357469988288358,94.37223815917969,,,,,,,,,,,,,,,,,,,,
lcbench_167104,lcbench,RS,2,200,200,-94.05524444580078,-94.05524444580078,94.05524444580078,,True,0.31666010001208633,0.11846070049796253,0.3267937999917194,10400.0,0.1981993995141238,94.05524444580078,,,,,,,,,,,,,,,,,,,,
lcbench_167104,lcbench,RS,3,200,200,-94.33660125732422,-94.33660125732422,94.33660125732422,,True,0.3342454999801703,0.12386170017998666,0.34321710001677275,10400.0,0.21038379980018362,94.33660125732422,,,,,,,,,,,,,,,,,,,,
lcbench_167104,lcbench,RS,4,200,200,-93.56212615966797,-93.56212615966797,93.56212615966797,,True,0.3319772999966517,0.12174079980468377,0.34063539997441694,10400.0,0.21023650019196793,93.56212615966797,,,,,,,,,,,,,,,,,,,,
lcbench_167104,lcbench,RS,5,200,200,-93.66533660888672,-93.66533660888672,93.66533660888672,,True,0.3398039999883622,0.12165569956414402,0.3489627000526525,10400.0,0.21814830042421818,93.66533660888672,,,,,,,,,,,,,,,,,,,,
